0,0,
1,100,
2,250,
3,450,
4,700,
5,940,
6,1230,
7,1570,
8,1960,
9,2400,
10,2830,
11,3340,
12,3930,
13,4600,
14,5320,
15,6120,
16,7000,
17,7960,
18,9000,
19,10120,
20,11320,
21,12540,
22,13900,
23,15400,
24,17040,
25,18820,
26,20830,
27,22817,
28,25034,
29,27481,
30,30158,
31,33185,
32,36465,
33,40095,
34,43939,
35,48133,
36,52827,
37,58021,
38,63715,
39,69909,
40,76603,
41,83977,
42,92031,
43,99976,
44,108601,
45,118151,
46,128381,
47,139291,
48,150881,
49,163151,
50,175406,
51,188551,
52,202586,
53,217511,
54,232335,
55,248049,
56,264893,
57,281372,
58,298981,
59,316981,
60,336981,
61,359211,
62,383671,
63,410361,
64,439281,
65,470431,
66,503811,
67,539421,
68,577261,
69,616341,
70,657651,
71,703421,
72,753651,
73,808341,
74,867491,
75,931101,
76,999171,
77,1067241,
78,1139771,
79,1216761,
80,1298211,
81,1388581,
82,1487871,
83,1596081,
84,1713211,
85,1839261,
86,1974231,
87,2118121,
88,2262011,
89,2414821,
90,2576551,
91,2751501,
92,2953531,
93,3168781,
94,3568781,
95,4368781,
96,5968781,
97,9168781,
98,15568781,
99,28368781,
100,53968781,
101,94968781,
102,146968781,
103,206368781,
104,271368781,
105,340568781,
106,412368781,
107,485968781,
108,560968781,
109,636968781,
110,713468781,
111,790218781,
112,867168781,
113,944218781,
114,1021368781,
115,1098618781,
116,1175986781,
117,1253418781,
118,1330968781,
119,1408618781,
120,1408618781,
