1,0,
2,100,
3,250,
4,450,
5,700,
6,940,
7,1230,
8,1570,
9,1960,
10,2400,
11,2830,
12,3340,
13,3930,
14,4600,
15,5320,
16,6120,
17,7000,
18,7960,
19,9000,
20,10120,
21,11320,
22,12540,
23,13900,
24,15400,
25,17040,
26,18820,
27,20830,
28,22817,
29,25034,
30,27481,
31,30158,
32,33185,
33,36465,
34,40095,
35,43939,
36,48133,
37,52827,
38,58021,
39,63715,
40,69909,
41,76603,
42,83977,
43,92031,
44,99976,
45,108601,
46,118151,
47,128381,
48,139291,
49,150881,
50,163151,
51,175406,
52,188551,
53,202586,
54,217511,
55,232335,
56,248049,
57,264893,
58,281372,
59,298981,
60,316981,
61,336981,
62,359211,
63,383671,
64,410361,
65,439281,
66,470431,
67,503811,
68,539421,
69,577261,
70,616341,
71,657651,
72,703421,
73,753651,
74,808341,
75,867491,
76,931101,
77,999171,
78,1067241,
79,1139771,
80,1216761,
81,1298211,
82,1388581,
83,1487871,
84,1596081,
85,1713211,
86,1839261,
87,1974231,
88,2118121,
89,2262011,
90,2414821,
91,2576551,
92,2751501,
93,2953531,
94,3168781,
95,3568781,
96,4368781,
97,5968781,
98,9168781,
99,15568781,
100,28368781,
101,53968781,
102,94968781,
103,146968781,
104,206368781,
105,271368781,
106,340568781,
107,412368781,
108,485968781,
109,560968781,
110,636968781,
111,713468781,
112,790218781,
113,867168781,
114,944218781,
115,1021368781,
116,1098618781,
117,1175986781,
118,1253418781,
119,1330968781,
120,1408618781,
